AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
822,20190305.0,0.0,Jump Shot,3.0,-231.0,36.0,5.0,1.0
1872,20190118.0,1.0,Hook Shot,2.0,60.0,89.0,5.0,1.0
2104,20190306.0,1.0,Jump Bank Shot,2.0,44.0,12.0,5.0,1.0
2220,20190403.0,0.0,Turnaround Jump Shot,2.0,46.0,69.0,5.0,1.0
2893,20181107.0,0.0,Pullup Jump shot,3.0,180.0,461.0,5.0,1.0
8453,20190410.0,0.0,Step Back Bank Jump Shot,3.0,-165.0,195.0,5.0,1.0
8932,20181107.0,0.0,Floating Jump shot,2.0,-50.0,15.0,5.0,1.0
9156,20181130.0,0.0,Turnaround Jump Shot,2.0,-114.0,116.0,5.0,1.0
10159,20181102.0,0.0,Jump Shot,2.0,155.0,111.0,5.0,1.0
11161,20190303.0,0.0,Jump Shot,3.0,-203.0,168.0,5.0,1.0
11230,20190328.0,0.0,Jump Shot,3.0,-91.0,399.0,5.0,1.0
11396,20181129.0,0.0,Jump Shot,3.0,-223.0,23.0,5.0,1.0
11709,20190212.0,1.0,Jump Shot,3.0,232.0,-26.0,5.0,1.0
13869,20181123.0,1.0,Jump Shot,3.0,-154.0,210.0,5.0,1.0
15149,20190328.0,0.0,Jump Shot,2.0,18.0,221.0,5.0,1.0
15199,20181018.0,0.0,Jump Shot,3.0,49.0,247.0,5.0,1.0
15440,20190130.0,0.0,Jump Shot,2.0,63.0,127.0,5.0,1.0
15470,20190208.0,0.0,Jump Shot,3.0,-151.0,226.0,5.0,1.0
16018,20181212.0,1.0,Pullup Jump shot,3.0,145.0,199.0,5.0,1.0
16140,20190101.0,1.0,Jump Shot,3.0,-93.0,240.0,5.0,1.0
17627,20190324.0,1.0,Jump Shot,3.0,41.0,263.0,5.0,1.0
17927,20181022.0,0.0,Running Pull-Up Jump Shot,3.0,-171.0,183.0,5.0,1.0
20049,20190129.0,0.0,Pullup Jump shot,2.0,-104.0,136.0,5.0,1.0
20208,20190301.0,1.0,Jump Shot,2.0,47.0,106.0,5.0,1.0
20597,20181024.0,0.0,Jump Shot,3.0,-158.0,260.0,5.0,1.0
20612,20181027.0,0.0,Jump Shot,3.0,114.0,239.0,5.0,1.0
20663,20181110.0,0.0,Jump Shot,3.0,-88.0,289.0,5.0,1.0
20683,20181111.0,0.0,Jump Shot,3.0,-75.0,240.0,5.0,1.0
23400,20190119.0,0.0,Step Back Jump shot,2.0,-184.0,15.0,5.0,1.0
23749,20190309.0,0.0,Jump Shot,3.0,-236.0,21.0,5.0,1.0
24157,20181024.0,0.0,Jump Shot,3.0,-201.0,147.0,5.0,1.0
24993,20181102.0,1.0,Jump Shot,3.0,169.0,204.0,5.0,1.0
25570,20190129.0,0.0,Jump Shot,3.0,193.0,182.0,5.0,1.0
26746,20190227.0,1.0,Jump Shot,2.0,-36.0,-5.0,5.0,1.0
27093,20181102.0,0.0,Running Pull-Up Jump Shot,3.0,-29.0,257.0,5.0,1.0
27200,20181121.0,0.0,Jump Shot,3.0,-143.0,205.0,5.0,1.0
27565,20190317.0,1.0,Jump Shot,3.0,-127.0,224.0,5.0,1.0
28029,20181106.0,0.0,Jump Shot,3.0,101.0,248.0,5.0,1.0
28584,20190109.0,0.0,Driving Floating Jump Shot,2.0,-5.0,70.0,5.0,1.0
28747,20190130.0,1.0,Turnaround Jump Shot,2.0,164.0,11.0,5.0,1.0
28864,20190221.0,0.0,Pullup Jump shot,3.0,-59.0,245.0,5.0,1.0
28940,20190301.0,0.0,Pullup Jump shot,3.0,-52.0,250.0,5.0,1.0
29004,20190309.0,1.0,Jump Shot,3.0,-136.0,210.0,5.0,1.0
29027,20190312.0,1.0,Pullup Jump shot,3.0,-117.0,233.0,5.0,1.0
31880,20181109.0,0.0,Pullup Jump shot,2.0,150.0,67.0,5.0,1.0
32175,20190205.0,0.0,Floating Jump shot,2.0,5.0,43.0,5.0,1.0
33134,20190226.0,0.0,Pullup Jump shot,3.0,-136.0,231.0,5.0,1.0
33653,20181026.0,0.0,Jump Shot,3.0,-151.0,197.0,5.0,1.0
33732,20181104.0,0.0,Jump Shot,3.0,-220.0,115.0,5.0,1.0
34046,20181207.0,1.0,Jump Shot,3.0,158.0,220.0,5.0,1.0
34365,20190118.0,1.0,Jump Shot,3.0,-81.0,264.0,5.0,1.0
34449,20190128.0,0.0,Step Back Jump shot,3.0,-177.0,189.0,5.0,1.0
34632,20190213.0,1.0,Pullup Jump shot,3.0,-84.0,247.0,5.0,1.0
35072,20190406.0,1.0,Jump Shot,2.0,85.0,141.0,5.0,1.0
35639,20181128.0,0.0,Pullup Jump shot,3.0,142.0,237.0,5.0,1.0
35796,20181214.0,0.0,Fadeaway Jump Shot,2.0,-52.0,16.0,5.0,1.0
35811,20181217.0,1.0,Pullup Jump shot,3.0,-221.0,116.0,5.0,1.0
36266,20190210.0,1.0,Fadeaway Jump Shot,3.0,-216.0,108.0,5.0,1.0
37062,20181203.0,0.0,Jump Shot,3.0,214.0,139.0,5.0,1.0
37278,20190213.0,0.0,Jump Shot,2.0,73.0,29.0,5.0,1.0
37445,20190315.0,1.0,Jump Shot,3.0,-105.0,246.0,5.0,1.0
38268,20181215.0,0.0,Jump Shot,3.0,136.0,199.0,5.0,1.0
39169,20190119.0,1.0,Jump Shot,3.0,220.0,114.0,5.0,1.0
39491,20181121.0,1.0,Jump Shot,3.0,232.0,90.0,5.0,1.0
40745,20190407.0,0.0,Running Jump Shot,2.0,21.0,54.0,5.0,1.0
41456,20181207.0,0.0,Jump Shot,2.0,143.0,44.0,5.0,1.0
41534,20181231.0,1.0,Jump Shot,3.0,-121.0,243.0,5.0,1.0
41853,20190316.0,0.0,Pullup Jump shot,2.0,166.0,55.0,5.0,1.0
42511,20190212.0,0.0,Pullup Jump shot,2.0,174.0,11.0,5.0,1.0
46624,20181027.0,1.0,Step Back Jump shot,2.0,2.0,153.0,5.0,1.0
49509,20190129.0,1.0,Driving Floating Jump Shot,2.0,2.0,152.0,5.0,1.0
49518,20190201.0,1.0,Driving Floating Jump Shot,2.0,-29.0,84.0,5.0,1.0
49932,20190410.0,0.0,Jump Shot,3.0,49.0,276.0,5.0,1.0
50005,20181028.0,0.0,Jump Shot,3.0,-136.0,215.0,5.0,1.0
51995,20181215.0,1.0,Driving Floating Jump Shot,2.0,-70.0,67.0,5.0,1.0
52110,20190111.0,0.0,Jump Shot,3.0,-9.0,254.0,5.0,1.0
52248,20190223.0,1.0,Jump Shot,2.0,-82.0,159.0,5.0,1.0
52935,20181020.0,0.0,Jump Shot,3.0,176.0,166.0,5.0,1.0
53289,20181215.0,1.0,Running Pull-Up Jump Shot,2.0,-163.0,148.0,5.0,1.0
53331,20181219.0,0.0,Pullup Jump shot,3.0,-216.0,125.0,5.0,1.0
57254,20181117.0,0.0,Jump Shot,3.0,-214.0,137.0,5.0,1.0
58513,20190409.0,0.0,Floating Jump shot,2.0,-40.0,110.0,5.0,1.0
61638,20190208.0,0.0,Pullup Jump shot,3.0,-15.0,251.0,5.0,1.0
62235,20181112.0,0.0,Fadeaway Jump Shot,2.0,-12.0,96.0,5.0,1.0
62297,20181119.0,0.0,Floating Jump shot,2.0,-50.0,67.0,5.0,1.0
62338,20181124.0,0.0,Floating Jump shot,2.0,43.0,64.0,5.0,1.0
63935,20181203.0,0.0,Fadeaway Jump Shot,2.0,-52.0,43.0,5.0,1.0
64075,20181221.0,1.0,Pullup Jump shot,3.0,-14.0,253.0,5.0,1.0
64285,20190224.0,0.0,Jump Shot,3.0,-144.0,205.0,5.0,1.0
66888,20190303.0,1.0,Jump Shot,3.0,-188.0,180.0,5.0,1.0
67020,20190324.0,0.0,Jump Shot,3.0,223.0,137.0,5.0,1.0
68351,20190305.0,1.0,Jump Shot,3.0,-164.0,202.0,5.0,1.0
68417,20190320.0,1.0,Jump Shot,3.0,83.0,247.0,5.0,1.0
68992,20190403.0,1.0,Jump Shot,3.0,229.0,17.0,5.0,1.0
70361,20181129.0,0.0,Pullup Jump shot,3.0,-148.0,244.0,5.0,1.0
72479,20181105.0,1.0,Pullup Jump shot,3.0,-85.0,239.0,5.0,1.0
73102,20181217.0,0.0,Fadeaway Jump Shot,2.0,-71.0,57.0,5.0,1.0
75161,20190227.0,0.0,Step Back Jump shot,3.0,155.0,215.0,5.0,1.0
75685,20190102.0,0.0,Jump Shot,3.0,231.0,90.0,5.0,1.0
76529,20190405.0,1.0,Pullup Jump shot,2.0,7.0,171.0,5.0,1.0
77472,20181231.0,1.0,Pullup Jump shot,3.0,163.0,189.0,5.0,1.0
79492,20190405.0,0.0,Driving Floating Jump Shot,2.0,-59.0,45.0,5.0,1.0
79535,20190409.0,0.0,Jump Shot,3.0,-138.0,215.0,5.0,1.0
84268,20190118.0,0.0,Jump Shot,3.0,-177.0,194.0,5.0,1.0
84366,20190213.0,1.0,Jump Shot,3.0,-223.0,56.0,5.0,1.0
85214,20190312.0,1.0,Jump Shot,3.0,-139.0,201.0,5.0,1.0
85861,20190409.0,1.0,Jump Shot,3.0,185.0,157.0,5.0,1.0
86594,20190117.0,0.0,Jump Shot,3.0,-104.0,273.0,5.0,1.0
90703,20181127.0,0.0,Turnaround Hook Shot,2.0,28.0,38.0,5.0,1.0
93593,20181111.0,0.0,Fadeaway Jump Shot,2.0,107.0,82.0,5.0,1.0
95480,20190222.0,0.0,Jump Shot,3.0,-97.0,227.0,5.0,1.0
95864,20181222.0,0.0,Jump Shot,3.0,-223.0,13.0,5.0,1.0
97528,20181121.0,1.0,Jump Shot,2.0,93.0,169.0,5.0,1.0
97653,20190108.0,0.0,Jump Shot,3.0,207.0,140.0,5.0,1.0
98355,20190127.0,1.0,Jump Shot,3.0,116.0,224.0,5.0,1.0
98676,20190410.0,0.0,Pullup Jump shot,3.0,-120.0,243.0,5.0,1.0
98968,20181125.0,1.0,Step Back Jump shot,3.0,194.0,179.0,5.0,1.0
99808,20181110.0,1.0,Running Jump Shot,3.0,201.0,157.0,5.0,1.0
100564,20190328.0,0.0,Running Jump Shot,3.0,-85.0,251.0,5.0,1.0
100645,20190406.0,0.0,Jump Shot,3.0,-3.0,253.0,5.0,1.0
100885,20190330.0,0.0,Jump Shot,3.0,-178.0,192.0,5.0,1.0
101197,20181221.0,0.0,Turnaround Jump Shot,2.0,11.0,61.0,5.0,1.0
101657,20181017.0,1.0,Jump Shot,3.0,-134.0,226.0,5.0,1.0
101780,20181109.0,0.0,Running Jump Shot,3.0,-188.0,170.0,5.0,1.0
102220,20190227.0,1.0,Step Back Jump shot,3.0,168.0,186.0,5.0,1.0
102412,20190403.0,0.0,Step Back Jump shot,3.0,105.0,235.0,5.0,1.0
102500,20181020.0,0.0,Turnaround Fadeaway shot,2.0,21.0,138.0,5.0,1.0
102524,20181023.0,0.0,Jump Shot,3.0,-50.0,260.0,5.0,1.0
103629,20190404.0,0.0,Jump Shot,2.0,-18.0,105.0,5.0,1.0
