AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
30425,20190225.0,1.0,Driving Layup Shot,2.0,-2.0,9.0,9.0,1.0
161184,20190225.0,0.0,Cutting Layup Shot,2.0,35.0,7.0,9.0,1.0
183564,20181027.0,1.0,Alley Oop Dunk Shot,2.0,1.0,-4.0,9.0,1.0
184156,20190325.0,1.0,Cutting Layup Shot,2.0,-8.0,15.0,9.0,1.0
200075,20181222.0,1.0,Dunk Shot,2.0,-10.0,24.0,9.0,1.0
30243,2017-03-30,1.0,Alley Oop Dunk,2.0,0.0,4.0,9.0,1.0
30303,2016-10-26,1.0,Cutting Layup Shot,2.0,0.0,5.0,9.0,1.0
40825,2016-12-12,1.0,Putback Dunk,2.0,0.0,11.0,9.0,1.0
40951,2017-01-14,0.0,Alley Oop Layup,2.0,2.0,19.0,9.0,1.0
41067,2017-02-26,0.0,Tip Layup Shot,2.0,-7.0,21.0,9.0,1.0
41110,2017-03-09,0.0,Tip Layup Shot,2.0,-2.0,14.0,9.0,1.0
172616,2016-12-10,0.0,Reverse Layup,2.0,27.0,10.0,9.0,1.0
172991,2017-03-22,1.0,Putback Dunk,2.0,0.0,4.0,9.0,1.0
184678,2016-12-11,0.0,Putback Dunk,2.0,19.0,16.0,9.0,1.0
184775,2017-01-02,0.0,Layup,2.0,0.0,13.0,9.0,1.0
