AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
13870,20181123.0,0.0,Pullup Jump shot,3.0,131.0,216.0,6.0,1.0
27566,20190317.0,0.0,Jump Shot,3.0,-183.0,211.0,6.0,1.0
39170,20190119.0,1.0,Jump Shot,3.0,240.0,22.0,6.0,1.0
66889,20190303.0,1.0,Jump Shot,3.0,-57.0,275.0,6.0,1.0
77474,20181231.0,0.0,Pullup Jump shot,3.0,-200.0,148.0,6.0,1.0
131321,20190121.0,1.0,Jump Shot,3.0,-180.0,194.0,6.0,1.0
169946,20190107.0,0.0,Jump Shot,3.0,232.0,1.0,6.0,1.0
192700,20190116.0,0.0,Jump Shot,3.0,107.0,246.0,6.0,1.0
213473,20190328.0,0.0,Jump Shot,3.0,39.0,256.0,6.0,1.0
60870,2016-11-12,0.0,Jump Shot,3.0,-196.0,178.0,6.0,1.0
117385,2016-11-23,0.0,Jump Shot,3.0,-183.0,257.0,6.0,1.0
