AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
534,20190113.0,1.0,Turnaround Jump Shot,2.0,78.0,128.0,2.0,1.0
737,20190222.0,0.0,Pullup Jump shot,2.0,-16.0,189.0,2.0,1.0
814,20190305.0,1.0,Pullup Jump shot,2.0,-154.0,159.0,2.0,1.0
821,20190305.0,1.0,Turnaround Jump Shot,2.0,-103.0,148.0,2.0,1.0
1099,20181127.0,1.0,Floating Jump shot,2.0,14.0,103.0,2.0,1.0
1666,20181114.0,0.0,Turnaround Fadeaway shot,2.0,-57.0,13.0,2.0,1.0
1698,20181121.0,0.0,Hook Shot,2.0,47.0,26.0,2.0,1.0
1750,20181206.0,0.0,Fadeaway Jump Shot,2.0,142.0,132.0,2.0,1.0
1754,20181223.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,47.0,16.0,2.0,1.0
1821,20190107.0,1.0,Jump Shot,2.0,152.0,126.0,2.0,1.0
1851,20190116.0,0.0,Driving Hook Shot,2.0,4.0,60.0,2.0,1.0
1870,20190118.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,46.0,87.0,2.0,1.0
1891,20190121.0,1.0,Jump Shot,2.0,122.0,88.0,2.0,1.0
1929,20190130.0,1.0,Turnaround Fadeaway shot,2.0,-4.0,81.0,2.0,1.0
1936,20190201.0,1.0,Jump Shot,2.0,103.0,22.0,2.0,1.0
1951,20190203.0,0.0,Driving Hook Shot,2.0,8.0,61.0,2.0,1.0
1980,20190209.0,0.0,Jump Shot,2.0,-68.0,175.0,2.0,1.0
1992,20190212.0,0.0,Hook Shot,2.0,2.0,50.0,2.0,1.0
2037,20190223.0,1.0,Hook Shot,2.0,1.0,34.0,2.0,1.0
2063,20190227.0,0.0,Jump Shot,2.0,-129.0,155.0,2.0,1.0
2100,20190306.0,1.0,Hook Shot,2.0,-7.0,67.0,2.0,1.0
2109,20190309.0,1.0,Jump Shot,2.0,-118.0,148.0,2.0,1.0
2116,20190311.0,0.0,Fadeaway Jump Shot,2.0,109.0,135.0,2.0,1.0
2123,20190311.0,0.0,Floating Jump shot,2.0,-16.0,116.0,2.0,1.0
2216,20190403.0,1.0,Turnaround Jump Shot,2.0,79.0,136.0,2.0,1.0
2229,20190405.0,1.0,Jump Shot,2.0,135.0,-4.0,2.0,1.0
2237,20190407.0,0.0,Driving Hook Shot,2.0,-30.0,58.0,2.0,1.0
2762,20190325.0,1.0,Jump Shot,2.0,161.0,58.0,2.0,1.0
3295,20190205.0,0.0,Jump Shot,2.0,-5.0,235.0,2.0,1.0
3624,20190407.0,1.0,Driving Floating Jump Shot,2.0,4.0,78.0,2.0,1.0
4185,20190317.0,0.0,Hook Shot,2.0,-22.0,53.0,2.0,1.0
