A, B, C, D
111,1,1031/1535,67.16612377850163
111,2,337/840,40.11904761904762
111,3,154/445,34.60674157303371
112,1,866/1321,65.55639666919001
112,2,579/1330,43.53383458646616
112,3,234/697,33.572453371592545
113,1,331/541,61.182994454713494
113,2,195/489,39.87730061349693
113,3,305/838,36.39618138424821
122,1,496/769,64.49934980494149
122,2,556/1236,44.983818770226534
122,3,200/585,34.18803418803419
123,1,359/590,60.84745762711864
123,2,363/859,42.258440046565774
123,3,375/1063,35.27751646284102
133,1,218/377,57.824933687002655
133,2,178/418,42.58373205741627
133,3,291/864,33.68055555555556
222,1,165/269,61.33828996282528
222,2,273/625,43.68
222,3,105/262,40.0763358778626
223,1,149/255,58.43137254901961
223,2,245/585,41.88034188034188
223,3,197/591,33.33333333333333
233,1,140/238,58.82352941176471
233,2,171/439,38.95216400911162
233,3,239/678,35.25073746312684
333,1,84/134,62.68656716417911
333,2,56/177,31.63841807909605
333,3,205/543,37.75322283609576
